CellID,cell_x,cell_y,death_time,Mode
348,664.0419434,340.0521223,220,necrosis
349,656.1907941,334.9095571,160,necrosis
353,667.3476905,309.8395519,170,necrosis
356,694.2068855,371.550334,260,necrosis
357,689.2482649,352.2657146,275,necrosis
358,699.9919429,358.0511004,285,necrosis
359,708.2563105,337.4808397,265,necrosis
371,697.0994142,277.6985195,210,necrosis
372,708.2563105,286.0551879,195,necrosis
373,720.2396437,315.6249377,205,necrosis
374,728.5040114,333.6239158,235,necrosis
375,723.5453908,349.694432,255,necrosis
376,714.8678047,370.2646927,215,necrosis
377,705.3637818,399.8344424,250,necrosis
378,716.1074598,401.1200837,235,necrosis
379,740.0741261,403.6913663,210,necrosis
380,736.768379,382.478285,235,necrosis
381,729.7436665,370.2646927,240,necrosis
382,733.462632,354.8369971,245,necrosis
383,742.140218,367.0505894,180,necrosis
384,741.3137813,350.9800733,220,necrosis
385,748.7517122,337.4808397,210,necrosis
386,738.4212526,318.1962203,235,necrosis
387,747.9252754,298.9116009,275,necrosis
388,737.1815974,293.7690357,220,necrosis
389,727.6775746,288.6264705,235,necrosis
396,745.8591835,266.7705685,250,necrosis
397,742.5534364,279.6269814,285,necrosis
406,725.1982643,149.7772108,280,necrosis
418,761.9747005,294.4118563,260,necrosis
419,766.5201027,308.5539106,255,necrosis
420,768.5861946,307.2682693,210,necrosis
421,759.4953902,323.3387854,225,necrosis
422,763.2143556,368.3362307,160,necrosis
423,772.7183785,334.9095571,235,necrosis
431,793.3792977,313.0536551,305,necrosis
432,782.2224013,343.2662255,270,necrosis
433,793.3792977,369.621872,230,necrosis
434,805.7758492,365.1221275,275,necrosis
436,801.230447,330.4098126,275,necrosis
460,912.3861923,239.7721013,1080,necrosis
483,786.3545852,389.5493121,200,necrosis
484,779.3298726,386.9780295,180,necrosis
485,768.1729762,385.6923882,155,necrosis
486,748.7517122,382.478285,170,necrosis
487,761.1482637,413.9764967,140,necrosis
488,748.7517122,424.261627,125,necrosis
489,753.7103328,435.8323987,120,necrosis
490,778.0902175,433.2611161,245,necrosis
492,799.9907918,400.4772631,250,necrosis
493,812.3873434,407.5482902,330,necrosis
494,801.6436654,424.9044477,280,necrosis
495,811.1476882,439.0465019,295,necrosis
496,797.9246999,455.7598387,280,necrosis
497,770.2390682,478.901382,230,necrosis
498,765.2804476,453.8313768,235,necrosis
499,754.949988,454.4741974,165,necrosis
500,735.5287239,450.6172735,175,necrosis
501,730.5701033,426.190089,215,necrosis
502,716.1074598,419.7618825,260,necrosis
503,720.6528621,449.9744529,265,necrosis
504,723.5453908,474.4016375,285,necrosis
505,730.9833217,490.4721537,260,necrosis
506,740.9005629,498.8288221,200,necrosis
507,749.578149,478.2585614,155,necrosis
508,754.949988,507.1854905,165,necrosis
509,743.3798732,519.3990828,245,necrosis
510,734.7022871,510.3995937,240,necrosis
515,754.949988,397.9059805,120,necrosis
539,791.7264241,513.613697,245,necrosis
541,774.7844704,522.613186,195,necrosis
542,781.3959645,534.8267783,235,necrosis
543,764.0407924,528.3985718,205,necrosis
544,746.6856203,530.3270338,180,necrosis
545,726.0247011,524.541648,275,necrosis
546,709.9091841,547.0403706,235,necrosis
548,707.0166554,581.7526855,185,necrosis
549,726.0247011,561.8252455,190,necrosis
550,737.1815974,548.9688325,195,necrosis
551,746.2724019,545.1119087,165,necrosis
552,751.2310225,558.6111422,165,necrosis
553,763.2143556,561.1824248,160,necrosis
555,780.9827462,586.2524301,165,necrosis
556,773.9580336,601.0373049,180,necrosis
557,759.4953902,592.6806365,200,necrosis
558,752.0574593,579.1814029,170,necrosis
559,745.8591835,592.6806365,165,necrosis
560,737.5948158,579.8242236,255,necrosis
561,724.7850459,594.6090985,210,necrosis
564,701.231598,616.4650005,245,necrosis
572,749.1649306,616.4650005,165,necrosis
573,759.4953902,616.4650005,165,necrosis
574,766.1068843,616.4650005,175,necrosis
575,785.11493,611.3224353,215,necrosis
577,827.6764236,595.2519191,1780,necrosis
578,833.461481,629.3214134,170,necrosis
581,776.0241255,626.7501308,490,necrosis
582,773.1315969,644.7491089,225,necrosis
583,762.8011373,654.3914186,155,necrosis
584,773.9580336,665.9621903,140,necrosis
585,768.1729762,676.8901413,205,necrosis
587,736.3551607,673.0332174,215,necrosis
